Name,Members FTE,Lobbying cost,Interest represented,EP passes on 2026-05-25,all EP passes,Meetings,country,gdp_usd,population,inflation_rate,gdp_per_capita,lobbying_gdp_ratio
Fleishman-Hillard,45.0,12730000,Advances interests of their clients,62.0,827.0,82.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,21536.637082291836
Meta Platforms Ireland Limited and its various subsidiaries,16.95,10000000,Promotes their own interests or the collective interests of their members,8.0,81.0,283.0,Ireland,548341794599.09,5212836.0,7.82945736434105,105190.68595273091,18236.80065699044
TUMO Center for Creative Technologies,15.35,10000000,Promotes their own interests or the collective interests of their members,0.0,0.0,2.0,Armenia,19513506553.1251,2969200.0,8.64091108973854,6571.974455450996,512465.5567555332
GOPA-Tech GmbH,0.3,10000000,Promotes their own interests or the collective interests of their members,0.0,0.0,3.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,2380.3733231319575
CEFIC - European Chemical Industry Council,46.7,10000000,Promotes their own interests or the collective interests of their members,17.0,348.0,295.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,16918.018132200974
INFINITE ORBITS,0.1,10000000,Promotes their own interests or the collective interests of their members,0.0,0.0,0.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,3578.0887529080287
Amazon Europe Core SARL,8.9,9000000,Promotes their own interests or the collective interests of their members,11.0,79.0,213.0,Luxembourg,80801680397.0139,653103.0,6.33600807777919,123719.65891599625,111383.82216531975
Grindr LLC,0.3,9000000,Promotes their own interests or the collective interests of their members,0.0,0.0,3.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,351.4959229978023
FTI Consulting Belgium,54.5,8495000,Advances interests of their clients,52.0,575.0,104.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,331.7730962073701
Apple Inc.,8.4,8000000,Promotes their own interests or the collective interests of their members,9.0,82.0,175.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,312.440820442491
Burson Cohn & Wolfe SRL,27.5,7025000,Advances interests of their clients,23.0,598.0,15.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,11884.907737871183
Microsoft Corporation,6.3,7000000,Promotes their own interests or the collective interests of their members,8.0,80.0,284.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,273.3857178871796
