"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
56047191389-84,Fleishman-Hillard,45,12730000,"Advances interests of their clients",BELGIUM,BELGIUM,62,827,82,https://www.lobbyfacts.eu/datacard/fleishman-hillard?rid=56047191389-84
28666427835-74,"Meta Platforms Ireland Limited and its various subsidiaries",16.95,10000000,"Promotes their own interests or the collective interests of their members",IRELAND,BELGIUM,8,81,283,https://www.lobbyfacts.eu/datacard/meta-platforms-ireland-limited-and-its-various-subsidiaries?rid=28666427835-74
455076325447-19,"TUMO Center for Creative Technologies",15.35,10000000,"Promotes their own interests or the collective interests of their members",ARMENIA,ARMENIA,,,2,https://www.lobbyfacts.eu/datacard/tumo-center-for-creative-technologies?rid=455076325447-19
621015197613-26,"GOPA-Tech GmbH",0.3,10000000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,3,https://www.lobbyfacts.eu/datacard/gopa-tech-gmbh?rid=621015197613-26
64879142323-90,"CEFIC - European Chemical Industry Council",46.7,10000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,17,348,295,https://www.lobbyfacts.eu/datacard/cefic---european-chemical-industry-council?rid=64879142323-90
8630271103981-12,"INFINITE ORBITS",0.1,10000000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/infinite-orbits?rid=8630271103981-12
366117914426-10,"Amazon Europe Core SARL",8.9,9000000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,LUXEMBOURG,11,79,213,https://www.lobbyfacts.eu/datacard/amazon-europe-core-sarl?rid=366117914426-10
631114398890-06,"Grindr LLC",0.3,9000000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,3,https://www.lobbyfacts.eu/datacard/grindr-llc?rid=631114398890-06
29896393398-67,"FTI Consulting Belgium",54.5,8495000,"Advances interests of their clients","UNITED STATES",BELGIUM,52,575,104,https://www.lobbyfacts.eu/datacard/fti-consulting-belgium?rid=29896393398-67
588327811384-96,"Apple Inc.",8.4,8000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,9,82,175,https://www.lobbyfacts.eu/datacard/apple-inc?rid=588327811384-96
9155503593-86,"Burson Cohn & Wolfe SRL",27.5,7025000,"Advances interests of their clients",BELGIUM,BELGIUM,23,598,15,https://www.lobbyfacts.eu/datacard/burson-cohn--wolfe-srl?rid=9155503593-86
0801162959-21,"Microsoft Corporation",6.3,7000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,8,80,284,https://www.lobbyfacts.eu/datacard/microsoft-corporation?rid=0801162959-21
165838227131-07,"Rud Pedersen Brussels",64.6,6705000,"Advances interests of their clients",BELGIUM,BELGIUM,37,300,48,https://www.lobbyfacts.eu/datacard/rud-pedersen-brussels?rid=165838227131-07
288119192442-46,EUROFI,3.5,6000000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/eurofi?rid=288119192442-46
33213703459-54,"Insurance Europe",35,6000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,18,297,142,https://www.lobbyfacts.eu/datacard/insurance-europe?rid=33213703459-54
3523776801-85,"Bayer AG",20,6000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,9,129,99,https://www.lobbyfacts.eu/datacard/bayer-ag?rid=3523776801-85
38526121292-88,"European Federation of Pharmaceutical Industries and Associations",13.4,6000000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,BELGIUM,15,119,174,https://www.lobbyfacts.eu/datacard/european-federation-of-pharmaceutical-industries-and-associations?rid=38526121292-88
3978240953-79,BUSINESSEUROPE,31,6000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,25,327,595,https://www.lobbyfacts.eu/datacard/businesseurope?rid=3978240953-79
65110063986-76,"Association for Financial Markets in Europe",17,6000000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,11,100,119,https://www.lobbyfacts.eu/datacard/association-for-financial-markets-in-europe?rid=65110063986-76
