Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
Fleishman-Hillard,45.0,12730000,Advances interests of their clients,Belgium,Belgium,62.0,827.0,82.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
Meta Platforms Ireland Limited and its various subsidiaries,16.95,10000000,Promotes their own interests or the collective interests of their members,Ireland,Belgium,8.0,81.0,283.0,Ireland,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Energy']"
TUMO Center for Creative Technologies,15.35,10000000,Promotes their own interests or the collective interests of their members,Armenia,Armenia,0.0,0.0,2.0,Armenia,['Artificial Intelligence']
GOPA-Tech GmbH,0.3,10000000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,3.0,Germany,"['Artificial Intelligence', 'Transport', 'Energy']"
CEFIC - European Chemical Industry Council,46.7,10000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,17.0,348.0,295.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
INFINITE ORBITS,0.1,10000000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Other']
Amazon Europe Core SARL,8.9,9000000,Promotes their own interests or the collective interests of their members,Luxembourg,Luxembourg,11.0,79.0,213.0,Luxembourg,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
Grindr LLC,0.3,9000000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,0.0,3.0,United States,"['Artificial Intelligence', 'Digital Markets']"
FTI Consulting Belgium,54.5,8495000,Advances interests of their clients,United States,Belgium,52.0,575.0,104.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Health', 'Energy', 'Trade', 'Environment']"
Apple Inc.,8.4,8000000,Promotes their own interests or the collective interests of their members,United States,Belgium,9.0,82.0,175.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Health', 'Environment']"
Burson Cohn & Wolfe SRL,27.5,7025000,Advances interests of their clients,Belgium,Belgium,23.0,598.0,15.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
Microsoft Corporation,6.3,7000000,Promotes their own interests or the collective interests of their members,United States,Belgium,8.0,80.0,284.0,United States,"['Artificial Intelligence', 'Digital Markets', 'Health', 'Energy', 'Trade', 'Environment', 'Justice & Rights']"
Rud Pedersen Brussels,64.6,6705000,Advances interests of their clients,Belgium,Belgium,37.0,300.0,48.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Energy', 'Trade', 'Environment']"
EUROFI,3.5,6000000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
Insurance Europe,35.0,6000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,18.0,297.0,142.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
Bayer AG,20.0,6000000,Promotes their own interests or the collective interests of their members,Germany,Belgium,9.0,129.0,99.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
European Federation of Pharmaceutical Industries and Associations,13.4,6000000,Promotes their own interests or the collective interests of their members,Luxembourg,Belgium,15.0,119.0,174.0,Luxembourg,"['Artificial Intelligence', 'Health', 'Trade', 'Environment']"
BUSINESSEUROPE,31.0,6000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,25.0,327.0,595.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Trade', 'Environment']"
Association for Financial Markets in Europe,17.0,6000000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,11.0,100.0,119.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
DGA Group Europe SA,65.75,5740000,Advances interests of their clients,Belgium,Belgium,44.0,417.0,37.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Health', 'Energy', 'Trade', 'Environment']"
Google Ireland Limited and its affiliates,8.65,5500000,Promotes their own interests or the collective interests of their members,Ireland,Belgium,17.0,137.0,456.0,Ireland,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Energy', 'Trade', 'Environment', 'Justice & Rights']"
Association des Constructeurs Européens d'Automobiles,19.5,5500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,14.0,220.0,346.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade', 'Environment']"
Instytut Techniki Górniczej KOMAG,0.25,5500000,Promotes their own interests or the collective interests of their members,Poland,Poland,0.0,0.0,0.0,Poland,"['Artificial Intelligence', 'Energy', 'Trade']"
Avfall Sverige,2.25,5500000,Promotes their own interests or the collective interests of their members,Sweden,Sweden,0.0,1.0,0.0,Sweden,"['Transport', 'Environment']"
