party_name_english,country_name,populist,populist_bl,farright,farright_bl,farleft,farleft_bl,eurosceptic,eurosceptic_bl,in_parliament,party_id,family_name,left_right,state_market,liberty_authority,eu_anti_pro
Alliance for the Future of Austria,Austria,1,0,0,0,0,0,1,0,0.0,1536.0,Right-wing,8.83,6.0,8.83,2.5
Freedom Party of Austria,Austria,1,0,1,0,0,0,1,0,1.0,50.0,Right-wing,8.3494,6.3291,8.5149,1.9815
Hans-Peter Martin's List,Austria,1,0,0,0,0,0,1,0,0.0,669.0,Special issue,4.2,5.0,3.4,2.85
Team Stronach,Austria,1,0,0,0,0,0,1,0,0.0,2150.0,Liberal,6.0,6.7,3.6,8.7
NOW – Pilz List,Austria,1,1,0,0,0,0,0,0,0.0,2651.0,Green/Ecologist,2.5,2.5,1.8,6.5
National Front,Belgium,1,0,1,0,0,0,1,0,0.0,171.0,Right-wing,9.655,8.0831,9.1382,1.5539
List Dedecker,Belgium,1,0,0,0,0,0,1,1,0.0,221.0,Liberal,6.0,6.7,3.6,8.7
People's Party,Belgium,1,0,1,0,0,0,1,0,0.0,438.0,Conservative,7.4,6.4,6.9,7.9
Workers' Party of Belgium,Belgium,0,0,0,0,1,0,1,0,1.0,256.0,Communist/Socialist,1.3,1.4,3.0,3.3
Flemish Interest,Belgium,1,0,1,0,0,0,1,0,1.0,993.0,Right-wing,9.6622,7.695,9.5234,2.756
New Flemish Alliance,Belgium,1,1,1,1,0,0,0,0,1.0,501.0,Conservative,6.5321,5.8809,6.06,6.4243
Attack,Bulgaria,1,0,1,0,0,0,1,0,0.0,535.0,Right-wing,5.46,3.25,9.17,2.4333
Bulgaria Uncensored,Bulgaria,1,0,1,1,0,0,1,0,0.0,2362.0,Conservative,7.4,6.4,6.9,7.9
Citizens for European Development of Bulgaria,Bulgaria,1,0,0,0,0,0,0,0,1.0,1541.0,Right-wing,8.7,5.9,8.5,2.3
National Front for the Salvation of Bulgaria,Bulgaria,1,0,1,0,0,0,1,0,0.0,2211.0,Right-wing,8.7,5.9,8.5,2.3
National Movement for Stability and Progress,Bulgaria,1,0,0,0,0,0,0,0,0.0,544.0,Liberal,5.7567,5.8948,4.008,9.3468
"Order, Law and Justice",Bulgaria,1,0,1,0,0,0,1,0,0.0,636.0,Right-wing,8.7,5.9,8.5,2.3
Bulgarian National Movement,Bulgaria,1,0,1,0,0,0,1,0,0.0,2212.0,Conservative,7.4,6.4,6.9,7.9
Will,Bulgaria,1,0,1,0,0,0,1,0,0.0,2637.0,Right-wing,8.7,5.9,8.5,2.3
Revival,Bulgaria,1,0,1,0,0,0,1,0,1.0,2640.0,Right-wing,8.7,5.9,8.5,2.3
Stand Up.BG,Bulgaria,1,0,0,0,0,0,0,0,0.0,2838.0,Social democracy,3.3,3.5,3.5,8.1
There Is Such a People,Bulgaria,1,0,0,0,0,0,0,0,0.0,2836.0,Conservative,7.4,6.4,6.9,7.9
Bulgarian Socialist Party,Bulgaria,0,0,1,1,0,0,0,0,0.0,982.0,Social democracy,3.0064,2.9187,4.5029,8.1871
Croatian Party of Rights,Croatia,0,0,1,0,0,0,1,0,0.0,1044.0,Right-wing,8.7719,3.5088,7.3684,3.3333
Croatian Democratic Alliance of Slavonia and Baranja,Croatia,1,0,1,1,0,0,0,0,1.0,2135.0,Right-wing,8.7,5.9,8.5,2.3
Croatian Labourists - Labour Party,Croatia,1,0,0,0,0,0,0,0,0.0,2182.0,Communist/Socialist,1.3,1.4,3.0,3.3
Croatian Growth,Croatia,1,0,1,0,0,0,1,0,1.0,2185.0,Christian democracy,6.2,5.7,7.1,8.3
Bridge,Croatia,1,0,1,1,0,0,0,0,1.0,2615.0,Conservative,7.4,6.4,6.9,7.9
Human Shield,Croatia,1,0,0,0,0,0,1,0,0.0,2612.0,Right-wing,8.7,5.9,8.5,2.3
Homeland Movement,Croatia,1,0,1,0,0,0,1,0,1.0,2809.0,Right-wing,8.7,5.9,8.5,2.3
We Can!,Croatia,1,0,0,0,1,0,0,0,1.0,2810.0,Green/Ecologist,2.5,2.5,1.8,6.5
Croatian Democratic Union,Croatia,1,0,1,0,0,0,1,0,1.0,276.0,Christian democracy,7.1053,5.7018,6.9298,7.1053
Bandić Milan 365 – Labour and Solidarity Party,Croatia,1,0,0,0,0,0,0,0,0.0,2628.0,Social democracy,3.3,3.5,3.5,8.1
Progressive Party of Working People,Cyprus,1,1,0,0,1,1,1,0,1.0,572.0,Communist/Socialist,1.0526,2.6316,6.1842,0.0
National Popular Front,Cyprus,1,1,1,0,0,0,1,0,1.0,1768.0,Right-wing,8.7,5.9,8.5,0.0
Citizens' Alliance,Cyprus,1,0,0,0,1,1,0,0,0.0,2341.0,Social democracy,3.3,3.5,3.5,0.0
European Party,Cyprus,1,1,1,0,0,0,0,0,0.0,491.0,Liberal,6.0,6.7,3.6,0.0
New Horizons,Cyprus,1,0,1,0,0,0,0,0,0.0,6.0,Right-wing,9.3421,6.5789,7.1053,0.0
Solidarity,Cyprus,1,1,1,1,0,0,0,0,0.0,2626.0,Right-wing,8.7,5.9,8.5,0.0
Action of Dissatisfied Citizens,Czech Republic,1,0,0,0,0,0,0,0,1.0,2263.0,Liberal,6.0,6.7,3.6,8.7
Communist Party of Bohemia and Moravia,Czech Republic,0,0,0,0,1,0,1,0,0.0,1173.0,Communist/Socialist,0.7498,1.2243,6.4265,2.4656
